monomer_ID,smiles,mol_weight_monomer,atomic_weight_mean,vdw_volume_monomer,qm_total_energy_monomer,qm_homo_monomer,qm_lumo_monomer,qm_dipole_monomer,qm_dipole_x_monomer,qm_dipole_y_monomer,qm_dipole_z_monomer,qm_polarizability_monomer,qm_polarizability_xx_monomer,qm_polarizability_yy_monomer,qm_polarizability_zz_monomer,qm_polarizability_xy_monomer,qm_polarizability_xz_monomer,qm_polarizability_yz_monomer,temp,press,tacticity,DP,n_mol,n_atom_mean,Mn,density,density_min,density_max,density_std,density_count,Rg,Rg_min,Rg_max,Rg_std,Rg_count,r2,r2_min,r2_max,r2_std,r2_count,self-diffusion,self-diffusion_min,self-diffusion_max,self-diffusion_std,self-diffusion_count,Cp,Cp_min,Cp_max,Cp_std,Cp_count,Cv,Cv_min,Cv_max,Cv_std,Cv_count,compressibility,compressibility_min,compressibility_max,compressibility_std,compressibility_count,bulk_modulus,bulk_modulus_min,bulk_modulus_max,bulk_modulus_std,bulk_modulus_count,isentropic_compressibility,isentropic_compressibility_min,isentropic_compressibility_max,isentropic_compressibility_std,isentropic_compressibility_count,isentropic_bulk_modulus,isentropic_bulk_modulus_min,isentropic_bulk_modulus_max,isentropic_bulk_modulus_std,isentropic_bulk_modulus_count,volume_expansion,volume_expansion_min,volume_expansion_max,volume_expansion_std,volume_expansion_count,linear_expansion,linear_expansion_min,linear_expansion_max,linear_expansion_std,linear_expansion_count,static_dielectric_const,static_dielectric_const_min,static_dielectric_const_max,static_dielectric_const_std,static_dielectric_const_count,dielectric_const_dc,dielectric_const_dc_min,dielectric_const_dc_max,dielectric_const_dc_std,dielectric_const_dc_count,nematic_order_parameter,nematic_order_parameter_min,nematic_order_parameter_max,nematic_order_parameter_std,nematic_order_parameter_count,refractive_index,refractive_index_min,refractive_index_max,refractive_index_std,refractive_index_count,thermal_conductivity,thermal_conductivity_min,thermal_conductivity_max,thermal_conductivity_std,thermal_conductivity_count,thermal_diffusivity,thermal_diffusivity_min,thermal_diffusivity_max,thermal_diffusivity_std,thermal_diffusivity_count,TC_ke,TC_ke_min,TC_ke_max,TC_ke_std,TC_ke_count,TC_pe,TC_pe_min,TC_pe_max,TC_pe_std,TC_pe_count,TC_pair,TC_pair_min,TC_pair_max,TC_pair_std,TC_pair_count,TC_bond,TC_bond_min,TC_bond_max,TC_bond_std,TC_bond_count,TC_angle,TC_angle_min,TC_angle_max,TC_angle_std,TC_angle_count,TC_dihed,TC_dihed_min,TC_dihed_max,TC_dihed_std,TC_dihed_count,TC_improper,TC_improper_min,TC_improper_max,TC_improper_std,TC_improper_count,TC_kspace,TC_kspace_min,TC_kspace_max,TC_kspace_std,TC_kspace_count,polymer_class
PI1,*CC*,28.054,4.675666667,45.008,-209676.7175,-12.03727174,3.128816904,8.94E-06,5.71E-06,-5.86E-06,-3.60E-06,3.98452078,4.240287656,3.85486087,3.858413814,0.028186415,0.046851791,0.00339043,300,1,none,165,10,998,4658.98,0.837971504,0.835574178,0.839800285,0.001776626,5,22.52882969,21.14962315,24.4491129,1.310072744,5,27.08426894,18.90071757,37.21226166,6.775935947,5,3.62E-12,3.37E-12,3.97E-12,2.69E-13,4,4699.002675,4503.781842,4810.803043,139.6826892,4,4450.135691,4314.893609,4523.528654,94.47084187,4,3.74E-10,3.44E-10,4.04E-10,2.48E-11,4,2689138059,2484985515,2910984394,175739995.5,4,3.54E-10,3.23E-10,3.80E-10,2.38E-11,4,2839027343,2640004240,3095524865,192022820,4,0.00050748,0.000446531,0.000564187,4.98E-05,4,0.00016916,0.000148844,0.000188062,1.66E-05,4,1.003523409,1.003254288,1.003669443,0.000176572,5,2.290632128,2.285104571,2.294793201,0.00403494,5,0.035930667,0.029351407,0.047277185,0.007007264,5,1.512318548,1.510579453,1.51364585,0.001289155,5,0.456184962,0.410036213,0.499835504,0.032555951,5,1.13E-07,1.02E-07,1.18E-07,7.35E-09,4,0.029017716,0.018575743,0.042540189,0.010861394,5,0.014002163,0.00797596,0.020837223,0.004815467,5,0.092198841,0.081823091,0.104618977,0.009061577,5,0.09861919,0.071216535,0.145977495,0.028406685,5,0.210823072,0.190443941,0.236647973,0.01710089,5,0.011510144,0.007740137,0.021453014,0.005758987,5,0,0,0,0,5,1.38E-05,-2.79E-05,2.93E-05,2.41E-05,5,1
PI2,*C(C*)C,42.081,4.675666667,61.624,-312948.9242,-11.57686478,3.039961247,0.077277932,0.003980157,0.03228246,0.070099072,5.780307663,6.281963377,5.43592143,5.623038182,0.034819083,-0.050906534,0.105223791,300,1,atactic,110,10,998,4658.98,0.83573244,0.833629412,0.83799519,0.001856274,5,18.30421655,16.98218147,20.01561365,1.39304749,5,18.55088582,15.1406461,22.76940786,3.040064893,5,5.47E-13,2.33E-13,9.73E-13,3.06E-13,5,4332.492867,4262.374779,4434.732257,71.05330199,5,4168.730406,4112.927219,4235.637383,43.81008453,5,3.38E-10,3.16E-10,3.67E-10,2.02E-11,5,2969571310,2724436713,3162178244,173790186.1,5,3.25E-10,3.09E-10,3.47E-10,1.48E-11,5,3084146749,2882413276,3237312451,137408202.2,5,0.000387744,0.000292035,0.000494035,8.99E-05,5,0.000129248,9.73E-05,0.000164678,3.00E-05,5,1.030295646,1.028382337,1.033110218,0.001859241,5,2.253164834,2.248380548,2.257929531,0.00424193,5,0.020613154,0.015272883,0.025258612,0.004111951,5,1.490928527,1.489476187,1.492491905,0.001282191,5,0.25877338,0.238499266,0.268180277,0.01202346,5,7.15E-08,6.58E-08,7.51E-08,3.56E-09,5,0.014429073,0.007632241,0.027148671,0.008033177,5,0.001012995,-0.003553501,0.003962642,0.002832913,5,0.076147859,0.066997126,0.084563444,0.007130093,5,0.061317137,0.05041107,0.081910114,0.013640215,5,0.102625681,0.08652115,0.118946634,0.012554702,5,0.002962036,0.000382288,0.005652447,0.00202245,5,0,0,0,0,5,0.000278598,-0.00016536,0.000561669,0.000302341,5,1
PI3,*C(C*)CC,56.108,4.675666667,78.424,-416219.2389,-11.42390789,2.987134632,0.081852316,-0.003191809,-0.046589958,-0.067223432,7.514826425,8.191657489,7.119033935,7.23378785,-0.092424322,0.024052055,0.163036415,300,1,atactic,83,10,1004,4687.034,0.833803273,0.82896131,0.838092635,0.003370775,5,17.61029646,16.58510603,18.84966088,0.911022155,5,14.65165958,8.89894081,19.7445269,4.265789326,5,6.54E-13,3.60E-13,8.97E-13,2.51E-13,5,4458.603276,4354.191302,4568.861558,77.62394518,5,4296.220602,4219.252119,4383.634822,64.95270511,5,4.04E-10,3.41E-10,4.53E-10,4.06E-11,5,2500329090,2209195031,2932798739,267387845.6,5,3.89E-10,3.28E-10,4.30E-10,3.78E-11,5,2594224033,2323745643,3051236672,273622849.8,5,0.000423072,0.000341862,0.000524248,7.09E-05,5,0.000141024,0.000113954,0.000174749,2.36E-05,5,1.007810074,1.006699579,1.009590745,0.001166681,5,2.184385706,2.17529912,2.194601453,0.007021743,5,0.026465546,0.015987154,0.039886737,0.009268328,5,1.475320848,1.472099463,1.478178172,0.002243855,5,0.264363289,0.249393154,0.287003492,0.015970742,5,7.11E-08,6.69E-08,7.54E-08,3.28E-09,5,0.016967296,0.010704384,0.021024377,0.003964451,5,0.009875085,0.002626889,0.012907479,0.004115385,5,0.087928042,0.081068986,0.099450323,0.007506329,5,0.058445802,0.044493864,0.07788086,0.012534546,5,0.089040241,0.07713563,0.099660877,0.008326219,5,0.002048253,0.000441471,0.004382304,0.001483151,5,0,0,0,0,5,5.86E-05,-4.26E-05,0.000288093,0.000132949,5,1
PI4,*C(C*)CCC,70.135,4.675666667,95.392,-519493.419,-11.22720085,3.05291719,0.075347424,0.003630084,-0.06310736,-0.041006315,9.363665661,10.88365819,8.726422459,8.480916329,0.13990655,-0.038720467,0.263216113,300,1,atactic,66,10,998,4658.98,0.82434244,0.82172795,0.825818807,0.001975734,5,15.69579508,14.89992676,17.31998163,0.974366492,5,12.94704948,8.930391091,15.67325084,2.587036496,5,5.38E-13,4.11E-13,7.24E-13,1.15E-13,5,4446.7416,4359.0521,4561.299811,83.34092444,5,4305.51867,4202.175255,4414.53687,97.99984228,5,4.07E-10,3.79E-10,4.56E-10,2.88E-11,5,2469748496,2195529813,2637765378,164313149.5,5,3.94E-10,3.71E-10,4.39E-10,2.61E-11,5,2550299667,2280384740,2694981725,157929404.6,5,0.000396029,0.000316169,0.00045297,5.00E-05,5,0.00013201,0.00010539,0.00015099,1.67E-05,5,1.010688966,1.010023451,1.011094467,0.000419306,5,2.16365831,2.159005029,2.16635033,0.003503484,5,0.029700654,0.014915029,0.041965557,0.011214615,5,1.467299555,1.465575164,1.46827348,0.001303269,5,0.261130695,0.247600774,0.280643838,0.012885008,5,7.13E-08,6.66E-08,7.72E-08,4.48E-09,5,0.017961902,0.014747335,0.021747045,0.003416597,5,0.007923648,0.005403813,0.010782315,0.001981956,5,0.079130432,0.072466696,0.086050699,0.005208525,5,0.057493941,0.033193998,0.067245423,0.014328245,5,0.092628787,0.075852292,0.101329845,0.009782917,5,0.005911058,0.005016426,0.006709716,0.000805215,5,0,0,0,0,5,8.09E-05,3.11E-05,0.000145748,4.59E-05,5,1
PI5,*C(C*)C(C)C,70.135,4.675666667,95.216,-519497.3697,-11.17103386,2.957730423,0.085636418,0.032326956,0.077242336,0.01794953,9.332767196,10.24870556,8.73827796,9.011318067,-0.005895416,0.042990603,-0.4264229,300,1,atactic,66,10,998,4658.98,0.809481605,0.804107628,0.813445839,0.003659192,5,16.58024304,15.56462571,17.567573,0.939642146,5,16.70648358,10.93184737,21.60941753,4.139504871,5,5.22E-13,1.73E-13,1.25E-12,4.51E-13,5,4376.928225,4201.109802,4537.034106,157.2286968,5,4299.996027,4116.059092,4535.870122,186.8251917,5,4.50E-10,3.91E-10,6.50E-10,1.12E-10,5,2309333121,1542336939,2555768105,430364167.7,5,4.43E-10,3.82E-10,6.49E-10,1.16E-10,5,2354943086,1542730517,2619089805,457282473.8,5,0.000249562,-1.06E-05,0.000407595,0.000158124,5,8.32E-05,-3.54E-06,0.000135865,5.27E-05,5,1.019560704,1.017739156,1.022223648,0.001640933,5,2.138866692,2.12867639,2.149060654,0.007752874,5,0.023789408,0.016855373,0.030090835,0.005206949,5,1.45578207,1.452280498,1.458367925,0.002385318,5,0.234342233,0.228760087,0.236996417,0.003336678,5,6.62E-08,6.36E-08,6.92E-08,2.07E-09,5,0.013339601,0.010168195,0.016706233,0.002943811,5,0.004069765,0.001439646,0.006300118,0.001990759,5,0.082153862,0.076740678,0.087689124,0.004037032,5,0.052065727,0.041612387,0.066981513,0.009223874,5,0.0798613,0.072489928,0.083459204,0.004336767,5,0.00279525,0.001717497,0.004323656,0.001158821,5,0,0,0,0,5,5.67E-05,-0.000575938,0.000606924,0.00044912,5,1
PI6,*C(C*)CCCC,84.162,4.675666667,112.176,-622765.6684,-11.03805724,3.044147826,9.62E-06,-9.96E-07,3.65E-06,8.85E-06,11.17156995,13.3349649,10.41764136,9.762103593,-0.060537393,-0.006608978,-0.089809965,300,1,atactic,55,10,998,4658.98,0.825542476,0.821681937,0.828779269,0.002733539,5,15.5576579,14.61034344,16.80597177,0.876039919,5,13.92108251,11.772397,17.58465449,2.259747728,5,5.49E-13,3.66E-13,7.16E-13,1.31E-13,5,4465.699624,4425.065408,4538.224777,44.30875128,5,4297.699057,4255.293529,4344.827171,36.971881,5,4.32E-10,3.73E-10,4.86E-10,4.78E-11,5,2337311246,2058232353,2684479674,265822414.2,5,4.16E-10,3.63E-10,4.69E-10,4.54E-11,5,2428120825,2131307811,2755022776,269320601.2,5,0.000444869,0.00034134,0.000489128,5.95E-05,5,0.00014829,0.00011378,0.000163043,1.98E-05,5,1.016840715,1.016067866,1.017623801,0.000588338,5,2.162925442,2.156309476,2.168895682,0.005008176,5,0.036393574,0.020642812,0.060494265,0.014679026,5,1.46495125,1.462424588,1.467071556,0.001789791,5,0.275330549,0.265046336,0.287990752,0.01172148,5,7.47E-08,7.20E-08,7.85E-08,2.82E-09,5,0.017856745,0.013657734,0.022152949,0.003108691,5,0.00629186,0.004815739,0.008463215,0.001489026,5,0.083300791,0.07338098,0.096236755,0.008296264,5,0.065509711,0.052127468,0.076461383,0.009941304,5,0.096538407,0.082538854,0.116997255,0.014133076,5,0.005900803,0.003504379,0.007888964,0.002090305,5,0,0,0,0,5,-6.78E-05,-0.00020198,0.000111449,0.000131874,5,1
PI7,*C(C*)CC(C)C,84.162,4.675666667,111.976,-622769.5039,-11.040807,2.980871171,0.120196333,0.014487579,-0.085766301,0.082954265,11.14090557,12.67569197,9.962272335,10.78475242,-0.049446034,0.131494535,0.266386432,300,1,atactic,55,10,998,4658.98,0.822248085,0.819295437,0.825176763,0.002759906,5,15.29672057,14.91529372,15.80154264,0.332694222,5,14.1501278,11.49726396,16.85263739,2.010153146,5,5.80E-13,4.32E-13,7.71E-13,1.26E-13,5,4425.884896,4349.454703,4506.809393,64.2071086,5,4293.382261,4191.561342,4394.91963,80.69329204,5,4.22E-10,3.84E-10,5.08E-10,4.93E-11,5,2395293933,1968996034,2606312996,246388457.1,5,4.09E-10,3.76E-10,4.87E-10,4.44E-11,5,2467899529,2054685570,2660898070,237405176.7,5,0.000388881,0.000308759,0.000503227,7.90E-05,5,0.000129627,0.00010292,0.000167742,2.63E-05,5,1.020942443,1.018509432,1.025154282,0.002485909,5,2.156403506,2.150134301,2.161256172,0.005070198,5,0.029227026,0.017161241,0.039468632,0.009664756,5,1.461320799,1.459398085,1.463228691,0.001797754,5,0.240918065,0.226924666,0.258357178,0.013361475,5,6.62E-08,6.33E-08,7.03E-08,3.39E-09,5,0.018853564,0.015195388,0.024196538,0.003611217,5,-0.003688727,-0.006951645,0.001664448,0.003494155,5,0.078520867,0.072932401,0.083500775,0.00439694,5,0.057236447,0.046402645,0.063415123,0.007248707,5,0.087379515,0.080468515,0.094319747,0.004989943,5,0.002329927,-0.001476523,0.004595753,0.002333314,5,0,0,0,0,5,0.000286473,-0.000339323,0.001129175,0.000562559,5,1
PI8,*C(C*)CCCCC,98.189,4.675666667,128.704,-726037.9274,-10.89562794,3.031210522,0.075433639,0.004178076,-0.05709971,0.049116196,12.98706314,15.73473777,11.66521925,11.56123241,0.020856782,-0.290917561,-0.421335835,300,1,atactic,47,10,995,4644.953,0.826026958,0.822614068,0.827866632,0.001992987,5,14.49472356,13.79681902,15.05674831,0.495630391,5,10.04747755,7.462324013,13.01322237,2.096498332,5,7.71E-13,5.35E-13,1.43E-12,3.75E-13,5,4541.070571,4397.520632,4718.356182,115.0922103,5,4324.49256,4214.91869,4478.102244,103.4405393,5,4.58E-10,3.94E-10,5.18E-10,4.79E-11,5,2202142028,1932007360,2536456719,235839222.3,5,4.36E-10,3.82E-10,4.87E-10,4.05E-11,5,2310005441,2053598624,2616328436,218618360.4,5,0.000521237,0.000386872,0.000619291,9.41E-05,5,0.000173746,0.000128957,0.00020643,3.14E-05,5,1.020745746,1.019345454,1.022667727,0.001484579,5,2.162116459,2.156826685,2.165063704,0.003342033,5,0.038740724,0.028191533,0.054387493,0.010965747,5,1.463341848,1.461118822,1.464540881,0.00129828,5,0.27463839,0.259533502,0.291142444,0.013974286,5,7.33E-08,6.72E-08,7.79E-08,4.74E-09,5,0.01882515,0.010045376,0.038400897,0.012512785,5,0.009068293,0.005012178,0.019631867,0.006032464,5,0.082181631,0.066693132,0.105601854,0.016239284,5,0.061326751,0.032057169,0.073291177,0.016787342,5,0.098712637,0.089741255,0.105882819,0.0068868,5,0.004390088,0.001623618,0.006074783,0.001844215,5,0,0,0,0,5,0.000133841,7.03E-05,0.000217977,5.79E-05,5,1
PI10,*C(C*)CCC(CC)C,112.216,4.675666667,145.552,-829311.4351,-10.88337466,2.902049194,0.072620261,0.047761312,0.023921897,-0.049196567,14.61889785,16.38455231,14.31053151,13.16160973,0.572858457,0.181536637,-0.385569402,300,1,atactic,41,10,992,4630.926,0.835027112,0.828794655,0.838773838,0.003897544,5,14.60740742,13.78850171,15.41064477,0.60249494,5,11.83238614,9.76755922,13.81412577,1.766053356,5,1.02E-12,8.29E-13,1.23E-12,1.57E-13,5,4441.089472,4350.066298,4543.998426,72.68966869,5,4245.749735,4200.643926,4277.394088,29.28611149,5,4.14E-10,3.59E-10,4.67E-10,3.82E-11,5,2434337805,2145354159,2784438192,228439826.4,5,3.96E-10,3.47E-10,4.38E-10,3.25E-11,5,2544206205,2286189004,2880632824,215010200.7,5,0.000472028,0.000385101,0.000604679,8.75E-05,5,0.000157343,0.000128367,0.00020156,2.92E-05,5,1.028083314,1.025171731,1.033837013,0.003626576,5,2.162659967,2.152397742,2.175431305,0.008498079,5,0.042649623,0.027681479,0.0622385,0.014014495,5,1.46101734,1.457027282,1.4634187,0.002496051,5,0.265949678,0.252104315,0.27964502,0.010994554,5,7.17E-08,6.99E-08,7.60E-08,2.53E-09,5,0.014163442,0.010989668,0.017205737,0.002630103,5,0.005295632,0.002940441,0.007522065,0.001852784,5,0.079202467,0.068759827,0.086461998,0.008425842,5,0.069903276,0.064121285,0.080910647,0.006670024,5,0.094936223,0.085875869,0.102456664,0.006426019,5,0.002480927,-0.000512622,0.005960076,0.002350818,5,0,0,0,0,5,-3.23E-05,-0.000404575,0.000186614,0.000224605,5,1
PI11,*C(C*)CCCCCCC,126.243,4.675666667,162.232,-932582.4614,-10.69582593,3.01501621,0.075071027,0.000596297,0.013208104,0.073897561,16.64331822,20.75361706,14.0716454,15.1046922,0.120856068,-0.066613646,0.189813505,300,1,atactic,37,10,1007,4701.061,0.830236127,0.82473014,0.832978969,0.003185872,5,14.31192204,13.1596969,15.10141828,0.738937244,5,10.46866709,6.192763043,13.02030001,2.650476469,5,1.21E-12,8.13E-13,1.61E-12,3.08E-13,5,4611.340726,4509.053454,4676.695198,68.23689733,5,4357.101696,4276.451516,4429.351878,55.08015342,5,4.45E-10,4.03E-10,5.01E-10,3.52E-11,5,2258374812,2000059587,2482926155,171753119.4,5,4.21E-10,3.82E-10,4.68E-10,3.08E-11,5,2389200601,2139313068,2617572370,169675780.5,5,0.000559427,0.000508846,0.000649837,5.32E-05,5,0.000186476,0.000169615,0.000216612,1.77E-05,5,1.013095056,1.010933967,1.014941894,0.001655451,5,2.157347686,2.148731091,2.162509135,0.005372483,5,0.049885504,0.0322967,0.068023926,0.01395986,5,1.464325512,1.460749533,1.466108522,0.002069377,5,0.3025418,0.29253993,0.322620926,0.012189588,5,7.90E-08,7.73E-08,8.42E-08,2.90E-09,5,0.017582727,0.010258454,0.022695177,0.004664976,5,0.007467131,0.005792323,0.011016747,0.002161147,5,0.081111386,0.075482987,0.08664568,0.004968141,5,0.079321966,0.059574244,0.103426775,0.016687777,5,0.110833976,0.100934754,0.121391354,0.007513207,5,0.006141254,0.00416698,0.008715486,0.001876203,5,0,0,0,0,5,8.34E-05,-6.52E-05,0.000229798,0.000127433,5,1
